file_path,subsystem,severity,status,issue
Camera/AutoCam.cs,Camera,high,fixed,"Fixed in prior pass: unsafe dictionary access replaced with GameObjectTarget.TryGet, magic numbers extracted to tooltipped [SerializeField] fields, Debug.Log spam gated behind debugLogsEnabled, several public fields tightened to [SerializeField] private, ground-fallback sign bug fixed"
Camera/CameraAssigner.cs,Camera,medium,pending,Update() re-checks/re-assigns target every frame instead of doing this once in OnEnable/Start (inefficient poll pattern)
Camera/CameraAssigner.cs,Camera,medium,pending,No null check on TimeTrialCameraManager.Instance before use
Camera/CameraAssigner.cs,Camera,low,pending,"Unused usings: System.Collections, System.Collections.Generic"
Camera/CameraMovement.cs,Camera,high,pending,"Zoom interpolation uses a frame-counted progress (framesElapsed / zoomDuration) instead of Time.deltaTime, making it framerate-dependent"
Camera/CameraMovement.cs,Camera,medium,pending,"Public mutable fields (movementSpeed, lookSpeed, zoomSpeed, minZoom, maxZoom, minDistance, maxDistance, scrollSpeedMultiplier, newZoom, changeDuration, cameraTarget, _currentFov) should be [SerializeField] private"
Camera/CameraMovement.cs,Camera,medium,pending,"Numerous unexplained magic numbers (10.0f, 3.0f, 2.0f, 50.0f, 100.0f, 0.1f, 1.0f, mouse-button index 2)"
Camera/CameraMovement.cs,Camera,medium,pending,Per-frame TimeTrialCameraManager.Instance.GetTarget() call in Update without caching
Camera/CameraMovement.cs,Camera,medium,pending,Debug.Log spam in ToggleAim()
Camera/CameraMovement.cs,Camera,medium,pending,No null check on cameraTarget.transform before use
Camera/CameraMovement.cs,Camera,low,pending,Dead commented-out code left in file
Camera/CameraSwitcher.cs,Camera,medium,pending,Debug.Log spam in hot paths (OnCameraSelected and elsewhere)
Camera/CameraSwitcher.cs,Camera,medium,pending,"Hardcoded magic-number camera indices (0,1,2,3) instead of an enum/constant mapping"
Camera/CameraSwitcher.cs,Camera,medium,pending,No null check before cameraDropdown.onValueChanged.AddListener()
Camera/CameraSwitcher.cs,Camera,medium,pending,"Duplicate FindGameObjectWithTag(""Helicopter"") calls with no null validation of the result"
Camera/CameraSwitcher.cs,Camera,low,pending,Singleton-style Instance usage inconsistent with other manager classes in the project (see systemic pattern across CameraSwitcher/SpeedGrapher/ViewManager/DashboardManager/WorldLookup) — consolidate on one pattern
Camera/ClickDragCinemachineInput.cs,Camera,low,pending,No significant issues found on review
Camera/MountedCam.cs,Camera,medium,pending,No null check on GetComponent<CinemachineCamera>() result
Camera/MountedCam.cs,Camera,low,pending,"Unused usings: System.Collections, System.Collections.Generic"
Camera/ViewManager.cs,Camera,medium,pending,"Public mutable fields (cesiumCameraManager, cameraViews, cameras, cameraManagers, otherMenuOpen, InputCamera, InputUICanvas) should be [SerializeField] private"
Camera/ViewManager.cs,Camera,medium,pending,No null checks when accessing array elements in Start()
Camera/ViewManager.cs,Camera,medium,pending,Appears to be an incomplete/unfinished feature (arrays initialized but no real usage pattern) — decide whether to finish or remove
Camera/ViewManager.cs,Camera,low,pending,Empty Update() method is dead code
Camera/fpv_camLock.cs,Camera,medium,pending,"Public mutable fields (cameraTarget, fpv_view, validTarget, cinemachineCamera) should be [SerializeField] private"
Camera/fpv_camLock.cs,Camera,medium,pending,cinemachineCamera.Follow assignment has no guaranteed-initialized/null guard
Camera/smoothCamera.cs,Camera,high,pending,"Quaternion.Slerp uses smoothRotationTime directly as the lerp factor instead of a Time.deltaTime-scaled factor, making smoothing framerate-dependent"
Camera/smoothCamera.cs,Camera,low,pending,public Transform target should be [SerializeField] private
Camera/smoothCamera.cs,Camera,low,pending,Leftover comment suggests an incomplete refactor; needs cleanup/finishing
Cesium/RecreateTileset.cs,Cesium,medium,pending,Update() logs on a keypress but does not act on the result — effectively dead/no-op code; finish or remove
Cesium/RecreateTileset.cs,Cesium,low,pending,Unused field cesiumAsset declared but never used
Cesium/cesiumDisabler.cs,Cesium,high,fixed,"Fixed in prior pass: replaced broken GameObject.Find-by-URL logic with a direct [SerializeField] GameObject reference, removed dead raycast block, added null guard/warning"
Cesium/cesiumDisabler.cs,Cesium,medium,pending,"Remaining: DisableChildrenAfterDelay coroutine (started in Start) has no OnDestroy/StopCoroutine cleanup — if the component is disabled/destroyed before the delay elapses, referenced objects could be gone or the coroutine could reference a destroyed object"
Data/ClientTelemetryCollector.cs,Data,low,pending,No issues found — well-structured NetworkBehaviour with proper null guards and initialization
Data/DataExtractor.cs,Data,high,fixed,"Fixed in prior pass: StreamWriter wrapped in using/try-catch, Directory.CreateDirectory added, Path.Combine used, null guards added, Rigidbody reference cached instead of per-frame GetComponent, CSV trailing-comma bug fixed"
Debugging/RotRateGrapher.cs,Debugging,low,pending,Unused public fields xJoy_input and axisName
Debugging/RotRateGrapher.cs,Debugging,low,pending,"Commented-out code left in file, should be removed"
Debugging/RotRateGrapher.cs,Debugging,low,pending,Unused using UnityEngine.InputSystem
Debugging/RotationGrapher.cs,Debugging,low,pending,No significant issues found on review
Debugging/SpeedGrapher.cs,Debugging,medium,pending,"Singleton pattern does not guard against multiple instances being created in the same frame; inconsistent with singleton style used elsewhere (WorldLookup, DashboardManager, ViewManager, CameraSwitcher) — needs a single consistent base pattern"
Debugging/SpeedGrapher.cs,Debugging,low,pending,Unused public field xJoy_input
Debugging/SpeedGrapher.cs,Debugging,low,pending,Unused using UnityEngine.InputSystem
Debugging/SpeedGrapher.cs,Debugging,low,pending,"Commented-out Debug.Log should be deleted, not commented out"
Debugging/XJoyGrapher.cs,Debugging,low,pending,Large commented-out code block should be removed entirely
Debugging/XJoyGrapher.cs,Debugging,low,pending,"Commented-out Debug.Log statements should be deleted, not commented out"
Debugging/XRDebugInfo.cs,Debugging,low,pending,"No significant issues found on review (consider gating its Debug.Log output behind a debug flag for consistency with other files, but this is a debug-only utility so lower priority)"
Debugging/YJoyGrapher.cs,Debugging,low,pending,No significant issues found on review
E360/NovaController.cs,E360,high,fixed,"Fixed in prior pass: StringBuilder for message building, DNS/SocketException null-checks, InputAction named-handler unsubscription + OnDisable, UdpClient disposed in OnDestroy, unused field removed, testObject null-guarded"
E360/Rotator.cs,E360,low,pending,No significant issues found on review
EditorScripts/ComponentGroup.cs,EditorScripts,low,pending,"Public mutable fields (groupName, visibility, isEditing, parent, comps) should be [SerializeField] private for editor-script consistency"
EditorScripts/ComponentGroup.cs,EditorScripts,low,pending,Heavy LINQ .ToList() usage in a few places — acceptable for editor-only tooling but flagged as a perf smell; a TODO in the code itself already acknowledges the inefficiency
EditorScripts/ComponentGroup.cs,EditorScripts,low,pending,Static field _numOfGroupsToCollapseAtFirstLaunch is fragile global state that does not reset between editor sessions cleanly
Enums/DashboardPanelType.cs,Enums,low,pending,No issues found (clean enum)
Enums/PanelCameraType.cs,Enums,low,pending,No issues found (clean enum)
Enums/WorldLookupType.cs,Enums,low,pending,No issues found (clean enum)
